Скорость реки:0.035;;;;;;;;;;;;;;Скорость сточных вод (на оголовок:2.43713
Расход сточных вод на оголовок:0.049;;;;;;;;;;;;;;Относительный диаметр:24.3107
Диаметр оголовка:0.16;;;;;;;;;;;;;;Диаметр пятна загрязнения:11.8826
Расстояния между оголовками:3.5 ;;;;;;;;;;;;;;Расстояния между оголовками (расч.):3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 3.44711 
Расстояние до левого берега:35;;;;;;;;;;;;;;Расстояние до левого берега (расч.):34.4711
Расстояние до правого берега:35;;;;;;;;;;;;;;Расстояние до правого берега (расч.):34.4711
:;;;;;;;;;;;;;;Общая ширина (расч.):158.567
Глубина:19;;;;;;;;;;;;;;Глубина (расч.):18.9591
Промежуточные сечения (доп.):100 ;;;;;;;;;;;;;;Помежуточные сечения (расч.):100 
Расчетный участок реки:500;;;;;;;;;;;;;;Участок реки (расч.):499.935
Высоты оголовков:2 ;;;;;;;;;;;;;;Высоты оголовков (расч.):1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 1.72356 
Начальное разбавление:10;;;;;;;;;;;;;;dx:0.108305
Расстояние от створа выпуска:0;;;;;;;;;;;;;;dy:0.861778
Величина загрязняющего вещества:100;;;;;;;;;;;;;;dz:0.861778
Сторона расчетного квадрата:4;;;;;;;;;;;;;;Коэффициент диффузии:0.06
Количество оголовков:25;;;;;;;;;;;;;;Коэффициент Шези:50.7531

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;

0(0);10;10

0.137532;0.137532;0.138676;0.140964;0.144396;0.148974;0.154699;0.16157;0.16959;0.178757;0.189073;0.200534;0.213142;0.226888;0.241772;0.257783;0.274916;0.293153;0.312488;0.332895;0.354363;0.37686;0.400367;0.424845;0.450269;0.476591;0.50378;0.531781;0.560553;0.590036;0.620182;0.650923;0.682207;0.713958;0.74612;0.778613;0.811378;0.844331;0.877409;0.91053;0.943629;0.976624;1.00945;1.04203;1.07431;1.1062;1.13765;1.1686;1.19899;1.22875;1.25785;1.28623;1.31386;1.34069;1.36669;1.39183;1.41609;1.43944;1.46187;1.48337;1.50394;1.52356;1.54225;1.56;1.57682;1.59274;1.60775;1.62188;1.63516;1.64759;1.6592;1.67003;1.68009;1.68942;1.69803;1.70596;1.71324;1.71989;1.72593;1.73141;1.73633;1.74072;1.74461;1.74802;1.75095;1.75344;1.75549;1.75711;1.75832;1.75913;1.75953;1.75953;1.75913;1.75832;1.75711;1.75549;1.75344;1.75095;1.74802;1.74461;1.74072;1.73633;1.73141;1.72593;1.71989;1.71324;1.70596;1.69803;1.68941;1.68009;1.67003;1.6592;1.64759;1.63516;1.62188;1.60775;1.59273;1.57682;1.55999;1.54224;1.52356;1.50393;1.48337;1.46187;1.43943;1.41608;1.39182;1.36668;1.34067;1.31384;1.28621;1.25782;1.22871;1.19894;1.16854;1.13758;1.10611;1.07421;1.04191;1.0093;0.976445;0.943416;0.910276;0.877108;0.843974;0.810956;0.778116;0.745534;0.71327;0.6814;0.649979;0.619081;0.588753;0.559063;0.530053;0.501781;0.474283;0.447609;0.421787;0.39686;0.372845;0.349777;0.327668;0.306543;0.286406;0.267275;0.249149;0.232037;0.215934;0.200844;0.186756;0.17367;0.161574;0.150464;0.140325;0.131152;0.122931;0.115655;0.109312;0.103894;0.0993925;0.0958009;0.0931121;0.0913224;0.0904283;
0.137532;0.137532;0.138676;0.140964;0.144396;0.148974;0.154699;0.16157;0.16959;0.178757;0.189073;0.200534;0.213142;0.226888;0.241772;0.257783;0.274916;0.293153;0.312488;0.332895;0.354363;0.37686;0.400367;0.424845;0.450269;0.476591;0.50378;0.531781;0.560553;0.590036;0.620182;0.650923;0.682207;0.713958;0.74612;0.778613;0.811378;0.844331;0.877409;0.91053;0.943629;0.976624;1.00945;1.04203;1.07431;1.1062;1.13765;1.1686;1.19899;1.22875;1.25785;1.28623;1.31386;1.34069;1.36669;1.39183;1.41609;1.43944;1.46187;1.48337;1.50394;1.52356;1.54225;1.56;1.57682;1.59274;1.60775;1.62188;1.63516;1.64759;1.6592;1.67003;1.68009;1.68942;1.69803;1.70596;1.71324;1.71989;1.72593;1.73141;1.73633;1.74072;1.74461;1.74802;1.75095;1.75344;1.75549;1.75711;1.75832;1.75913;1.75953;1.75953;1.75913;1.75832;1.75711;1.75549;1.75344;1.75095;1.74802;1.74461;1.74072;1.73633;1.73141;1.72593;1.71989;1.71324;1.70596;1.69803;1.68941;1.68009;1.67003;1.6592;1.64759;1.63516;1.62188;1.60775;1.59273;1.57682;1.55999;1.54224;1.52356;1.50393;1.48337;1.46187;1.43943;1.41608;1.39182;1.36668;1.34067;1.31384;1.28621;1.25782;1.22871;1.19894;1.16854;1.13758;1.10611;1.07421;1.04191;1.0093;0.976445;0.943416;0.910276;0.877108;0.843974;0.810956;0.778116;0.745534;0.71327;0.6814;0.649979;0.619081;0.588753;0.559063;0.530053;0.501781;0.474283;0.447609;0.421787;0.39686;0.372845;0.349777;0.327668;0.306543;0.286406;0.267275;0.249149;0.232037;0.215934;0.200844;0.186756;0.17367;0.161574;0.150464;0.140325;0.131152;0.122931;0.115655;0.109312;0.103894;0.0993925;0.0958009;0.0931121;0.0913224;0.0904283;
0.137581;0.137581;0.138725;0.141014;0.144447;0.149028;0.154753;0.161629;0.169649;0.178822;0.189139;0.200608;0.213215;0.226971;0.241855;0.257877;0.27501;0.29326;0.312595;0.333017;0.354485;0.376997;0.400504;0.425;0.450423;0.476764;0.503953;0.531973;0.560746;0.590249;0.620396;0.651158;0.682442;0.714215;0.746378;0.778894;0.811659;0.844634;0.877713;0.910857;0.943956;0.976974;1.0098;1.04241;1.07468;1.1066;1.13805;1.16902;1.1994;1.22919;1.25829;1.28669;1.31432;1.34117;1.36717;1.39232;1.41658;1.43995;1.46238;1.4839;1.50446;1.5241;1.54279;1.56055;1.57738;1.5933;1.60832;1.62246;1.63573;1.64817;1.65979;1.67062;1.68068;1.69001;1.69863;1.70656;1.71384;1.72049;1.72654;1.73202;1.73694;1.74134;1.74523;1.74863;1.75157;1.75406;1.75611;1.75773;1.75894;1.75975;1.76015;1.76015;1.75975;1.75894;1.75773;1.75611;1.75406;1.75157;1.74863;1.74523;1.74134;1.73694;1.73202;1.72654;1.72049;1.71384;1.70656;1.69863;1.69001;1.68068;1.67062;1.65979;1.64817;1.63573;1.62246;1.60831;1.5933;1.57738;1.56055;1.54278;1.5241;1.50446;1.48389;1.46238;1.43994;1.41657;1.39231;1.36715;1.34115;1.3143;1.28666;1.25826;1.22915;1.19935;1.16896;1.13798;1.10651;1.07458;1.04228;1.00965;0.976795;0.943743;0.910603;0.877412;0.844277;0.811237;0.778396;0.745792;0.713527;0.681635;0.650214;0.619294;0.588967;0.559256;0.530245;0.501953;0.474455;0.447763;0.421941;0.396996;0.372981;0.349897;0.327788;0.306648;0.286511;0.267367;0.24924;0.232117;0.216014;0.200912;0.186825;0.17373;0.161634;0.150515;0.140376;0.131197;0.122976;0.115695;0.109352;0.10393;0.0994287;0.0958345;0.0931457;0.0913548;0.0904606;
