Скорость реки:0.035
Расход сточных вод на оголовок:0.049
Диаметр оголовка:0.16
Расстояния между оголовками:3.5 ;;;;;;;;;;;;;;Расстояния между оголовками (расч.):2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 2.80624 
:35;;;;;;;;;;;;;;:34.6103
:35;;;;;;;;;;;;;;:34.6103
:;;;;;;;;;;;;;;Общая ширина (расч.):128.152
Глубина:19;;;;;;;;;;;;;;Глубина (расч.):18.7083
Промежуточные сечения:100 ;;;;;;;;;;;;;;Помежуточные сечения (расч.):100 
Расчетный участок реки:500;;;;;;;;;;;;;;Участок реки (расч.):499.953
Высоты оголовков:2 ;;;;;;;;;;;;;;Высоты оголовков (расч.):1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 1.87083 
Начальное разбавление:10;;;;;;;;;;;;;;dx:0.127604
Расстояние от створа выпуска:0;;;;;;;;;;;;;;dy:0.935414
Величина загрязняющего вещества:100;;;;;;;;;;;;;;dz:0.935414
Сторона расчетного квадрата:4;;;;;;;;;;;;;;Коэффициент диффузии:0.06
Количество оголовков:20;;;;;;;;;;;;;;Коэффициент Шези:50.7531

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;

0(0);10;10

0.151632;0.151632;0.153118;0.156092;0.160552;0.166503;0.173942;0.182874;0.193297;0.205212;0.218616;0.233511;0.249885;0.267737;0.287052;0.307822;0.330023;0.353642;0.378643;0.405005;0.432683;0.461644;0.491831;0.523202;0.555687;0.589232;0.623755;0.659193;0.695451;0.732456;0.770103;0.808311;0.846967;0.885983;0.925239;0.964644;1.00408;1.04344;1.08261;1.1215;1.15998;1.19796;1.23533;1.272;1.30786;1.34284;1.37683;1.40976;1.44155;1.47213;1.50142;1.52937;1.55592;1.58102;1.60462;1.62669;1.64717;1.66605;1.68329;1.69886;1.71275;1.72494;1.73542;1.74416;1.75117;1.75643;1.75994;1.7617;1.7617;1.75994;1.75643;1.75117;1.74416;1.73541;1.72494;1.71275;1.69886;1.68328;1.66605;1.64717;1.62668;1.60462;1.58102;1.55591;1.52936;1.5014;1.47211;1.44153;1.40973;1.3768;1.3428;1.30781;1.27194;1.23525;1.19786;1.15986;1.12135;1.08244;1.04323;1.00382;0.964343;0.924877;0.885549;0.846449;0.807694;0.769369;0.731586;0.694423;0.65798;0.622329;0.587558;0.553727;0.520914;0.489166;0.458549;0.429096;0.40086;0.373865;0.348148;0.323723;0.300615;0.278827;0.258376;0.239257;0.221477;0.205024;0.189898;0.176087;0.163584;0.152373;0.142449;0.133794;0.126401;0.120257;0.115355;0.111684;0.109242;0.108021;
0.151632;0.151632;0.153118;0.156092;0.160552;0.166503;0.173942;0.182874;0.193297;0.205212;0.218616;0.233511;0.249885;0.267737;0.287052;0.307822;0.330023;0.353642;0.378643;0.405005;0.432683;0.461644;0.491831;0.523202;0.555687;0.589232;0.623755;0.659193;0.695451;0.732456;0.770103;0.808311;0.846967;0.885983;0.925239;0.964644;1.00408;1.04344;1.08261;1.1215;1.15998;1.19796;1.23533;1.272;1.30786;1.34284;1.37683;1.40976;1.44155;1.47213;1.50142;1.52937;1.55592;1.58102;1.60462;1.62669;1.64717;1.66605;1.68329;1.69886;1.71275;1.72494;1.73542;1.74416;1.75117;1.75643;1.75994;1.7617;1.7617;1.75994;1.75643;1.75117;1.74416;1.73541;1.72494;1.71275;1.69886;1.68328;1.66605;1.64717;1.62668;1.60462;1.58102;1.55591;1.52936;1.5014;1.47211;1.44153;1.40973;1.3768;1.3428;1.30781;1.27194;1.23525;1.19786;1.15986;1.12135;1.08244;1.04323;1.00382;0.964343;0.924877;0.885549;0.846449;0.807694;0.769369;0.731586;0.694423;0.65798;0.622329;0.587558;0.553727;0.520914;0.489166;0.458549;0.429096;0.40086;0.373865;0.348148;0.323723;0.300615;0.278827;0.258376;0.239257;0.221477;0.205024;0.189898;0.176087;0.163584;0.152373;0.142449;0.133794;0.126401;0.120257;0.115355;0.111684;0.109242;0.108021;
0.151689;0.151689;0.153176;0.15615;0.160614;0.166564;0.174009;0.182941;0.193371;0.205287;0.218701;0.233595;0.249981;0.267834;0.287163;0.307933;0.33015;0.353769;0.378789;0.405151;0.432849;0.46181;0.49202;0.523391;0.5559;0.589445;0.623994;0.659431;0.695716;0.732721;0.770396;0.808604;0.847288;0.886304;0.92559;0.964995;1.00445;1.04382;1.08302;1.1219;1.16041;1.1984;1.23579;1.27246;1.30835;1.34333;1.37735;1.41028;1.44209;1.47267;1.50198;1.52993;1.5565;1.58161;1.60522;1.62729;1.64779;1.66666;1.68391;1.69949;1.71339;1.72558;1.73606;1.74481;1.75182;1.75708;1.76059;1.76235;1.76235;1.76059;1.75708;1.75182;1.74481;1.73606;1.72558;1.71339;1.69949;1.68391;1.66666;1.64778;1.62728;1.60522;1.5816;1.55649;1.52992;1.50197;1.47265;1.44207;1.41025;1.37731;1.34329;1.3083;1.2724;1.23571;1.1983;1.1603;1.12176;1.08285;1.04361;1.0042;0.964693;0.925228;0.88587;0.84677;0.807986;0.769662;0.731851;0.694687;0.658218;0.622566;0.58777;0.553939;0.521102;0.489354;0.458714;0.429261;0.401005;0.374009;0.348273;0.323848;0.300722;0.278935;0.258469;0.23935;0.221556;0.205103;0.189967;0.176155;0.163643;0.152432;0.1425;0.133846;0.126447;0.120303;0.115397;0.111727;0.109282;0.108062;
0.151801;0.151801;0.153289;0.156267;0.160731;0.16669;0.174135;0.18308;0.19351;0.205443;0.218857;0.233773;0.250159;0.268038;0.287367;0.308168;0.330385;0.354038;0.379058;0.405459;0.433157;0.46216;0.49237;0.523787;0.556296;0.58989;0.624439;0.659928;0.696213;0.733272;0.770947;0.80921;0.847895;0.886968;0.926253;0.965716;1.00518;1.0446;1.0838;1.12274;1.16125;1.19929;1.23668;1.27341;1.3093;1.34433;1.37834;1.41132;1.44313;1.47376;1.50307;1.53106;1.55763;1.58277;1.60639;1.62849;1.64898;1.66789;1.68514;1.70074;1.71464;1.72685;1.73733;1.74609;1.7531;1.75837;1.76188;1.76364;1.76364;1.76188;1.75837;1.7531;1.74608;1.73733;1.72684;1.71464;1.70073;1.68514;1.66789;1.64898;1.62848;1.60638;1.58276;1.55762;1.53105;1.50305;1.47374;1.44311;1.41129;1.37831;1.34428;1.30925;1.27334;1.23661;1.19919;1.16113;1.1226;1.08362;1.04439;1.00493;0.965414;0.925891;0.886534;0.847376;0.808593;0.770212;0.732401;0.695183;0.658714;0.62301;0.588214;0.554333;0.521496;0.489702;0.459062;0.429566;0.401309;0.374274;0.348539;0.324077;0.300952;0.279133;0.258667;0.23952;0.221726;0.205249;0.190112;0.17628;0.163768;0.152541;0.142609;0.133942;0.126543;0.12039;0.115484;0.111809;0.109364;0.108142;
0.151966;0.151966;0.153457;0.156435;0.160908;0.166867;0.174328;0.183274;0.193726;0.205659;0.219102;0.234018;0.250439;0.268318;0.287689;0.308489;0.330755;0.354408;0.379481;0.405882;0.433639;0.462643;0.492917;0.524334;0.556913;0.590507;0.62513;0.660619;0.696982;0.734041;0.771797;0.81006;0.848828;0.887901;0.92727;0.966733;1.00628;1.0457;1.08498;1.12393;1.16252;1.20055;1.23803;1.27476;1.31072;1.34575;1.37984;1.41282;1.4447;1.47532;1.5047;1.53269;1.55932;1.58446;1.60813;1.63022;1.65077;1.66967;1.68696;1.70256;1.71649;1.72869;1.7392;1.74796;1.75498;1.76025;1.76377;1.76553;1.76553;1.76377;1.76025;1.75498;1.74796;1.7392;1.72869;1.71648;1.70255;1.68695;1.66967;1.65076;1.63022;1.60812;1.58445;1.55931;1.53268;1.50468;1.4753;1.44468;1.41279;1.37981;1.34571;1.31067;1.27469;1.23795;1.20046;1.1624;1.12378;1.08481;1.04549;1.00603;0.966431;0.926908;0.887466;0.848309;0.809442;0.771062;0.733169;0.695951;0.659404;0.6237;0.588829;0.554949;0.522041;0.490247;0.459541;0.430045;0.401728;0.374693;0.348901;0.32444;0.301265;0.279446;0.258936;0.239789;0.221957;0.20548;0.190311;0.176479;0.163939;0.152713;0.142759;0.134092;0.126678;0.120524;0.115608;0.111932;0.109482;0.10826;
0.15218;0.15218;0.153671;0.156657;0.161131;0.167107;0.174568;0.183538;0.19399;0.205957;0.219399;0.234357;0.250778;0.268707;0.288077;0.308936;0.331201;0.35492;0.379993;0.406467;0.434225;0.463309;0.493583;0.525088;0.557666;0.591354;0.625976;0.661564;0.697927;0.735089;0.772844;0.811214;0.849982;0.889163;0.928533;0.968105;1.00765;1.04718;1.08646;1.12551;1.16411;1.20225;1.23973;1.27655;1.31252;1.34765;1.38173;1.41481;1.44668;1.47739;1.50677;1.53484;1.56147;1.58668;1.61034;1.6325;1.65304;1.672;1.68929;1.70493;1.71886;1.7311;1.74161;1.75039;1.75742;1.7627;1.76622;1.76799;1.76799;1.76622;1.7627;1.75742;1.75039;1.74161;1.7311;1.71886;1.70493;1.68929;1.672;1.65304;1.6325;1.61034;1.58667;1.56146;1.53483;1.50675;1.47737;1.44666;1.41478;1.3817;1.3476;1.31247;1.27649;1.23965;1.20215;1.16399;1.12537;1.08629;1.04697;1.0074;0.967802;0.928169;0.888728;0.849462;0.810595;0.772108;0.734216;0.696895;0.660347;0.624544;0.589673;0.555699;0.522791;0.490909;0.460203;0.430625;0.402308;0.375198;0.349406;0.324877;0.301702;0.279822;0.259312;0.240112;0.22228;0.205757;0.190588;0.176717;0.164178;0.15292;0.142966;0.134275;0.126861;0.12069;0.115774;0.112088;0.109638;0.108412;
0.152437;0.152437;0.153933;0.156919;0.161407;0.167383;0.174869;0.183839;0.194327;0.206293;0.219781;0.234738;0.251215;0.269143;0.288578;0.309437;0.331776;0.355495;0.380652;0.407126;0.434977;0.464061;0.494436;0.52594;0.558627;0.592315;0.627053;0.662641;0.699125;0.736287;0.774168;0.812538;0.851435;0.890616;0.930117;0.969689;1.00937;1.0489;1.08831;1.12736;1.16608;1.20422;1.24183;1.27865;1.31474;1.34987;1.38407;1.41714;1.44912;1.47983;1.50931;1.53738;1.56409;1.5893;1.61305;1.63521;1.65582;1.67478;1.69212;1.70776;1.72174;1.73398;1.74452;1.7533;1.76035;1.76564;1.76917;1.77093;1.77093;1.76917;1.76564;1.76035;1.7533;1.74452;1.73398;1.72174;1.70776;1.69212;1.67477;1.65582;1.6352;1.61304;1.5893;1.56409;1.53737;1.50929;1.47981;1.4491;1.41711;1.38403;1.34982;1.31469;1.27859;1.24175;1.20413;1.16596;1.12722;1.08814;1.04869;1.00911;0.969386;0.929753;0.89018;0.850914;0.811918;0.773431;0.735412;0.698091;0.661422;0.625619;0.590632;0.556657;0.52364;0.491757;0.460949;0.431371;0.402959;0.375849;0.349972;0.325442;0.30219;0.28031;0.259732;0.240531;0.222639;0.206116;0.190897;0.177026;0.164445;0.153187;0.1432;0.134508;0.127069;0.120899;0.115966;0.11228;0.109822;0.108596;
